id,name,path,depth,direct_children,flag
1rHzvBSxoZNteH9GoJvtxNca08IInIBac,99_ARCHIVES,01_ADMIN/04_Factures/99_ARCHIVES,2,0,OK
1DkIlgpGQuDPfEFlHLlaG2nghz06DBPeW,02_Recues,01_ADMIN/04_Factures/02_Recues,2,0,OK
1Neh3eQht_5Em_m28MDdEcYZTdbtthRPQ,01_Emises,01_ADMIN/04_Factures/01_Emises,2,0,OK
1--CAuIfLCaFj0xEpjc6vNZs7T-uIZlyp,99_ARCHIVES,01_ADMIN/03_Banque/99_ARCHIVES,2,0,OK
1FDIHvV4rLSN2oAuJLQIOUkXIaebgg8gG,02_Justificatifs,01_ADMIN/03_Banque/02_Justificatifs,2,0,OK
1KGQ6RFYTaU2Q4tOiy32oNIO8dYSxDM5E,01_Releves,01_ADMIN/03_Banque/01_Releves,2,0,OK
1JTdz-T8HDWflxJJcdiHZmgR7UG9Uat4I,99_ARCHIVES,02_PROJETS/schoolsWP/06_Monétisation/99_ARCHIVES,3,0,OK
1VgjFQ2qQ4SgeqL-8LM1e3UeCUBe9ik2p,03_Campagnes,02_PROJETS/schoolsWP/06_Monétisation/03_Campagnes,3,0,OK
1VPEA-O3w0XxGZqEBivhaaazqs8Bh4mFk,02_Partenariats,02_PROJETS/schoolsWP/06_Monétisation/02_Partenariats,3,0,OK
1BxKjv4i3lexjMHtXGvvMh00sHq70tyzT,01_Affiliation,02_PROJETS/schoolsWP/06_Monétisation/01_Affiliation,3,0,OK
1QMrI7Jfc0NqezMMmod8m4HX9UtV9V_Ni,05_Scripts-video-audio,02_PROJETS/schoolsWP/05_Contenus/05_Scripts-video-audio,3,0,OK
1Ahw7Dbo6qCgycZO8L9CphVHZvfwh4dYG,04_Lead-magnets,02_PROJETS/schoolsWP/05_Contenus/04_Lead-magnets,3,0,OK
1Yty2ByHtkeVI8RALcnKMiuogIIeZKzZy,03_Publies,02_PROJETS/schoolsWP/05_Contenus/03_Publies,3,0,OK
1DXWxvYAL2H--emk8nGnibaKGZXmq-Lc6,02_A-optimiser,02_PROJETS/schoolsWP/05_Contenus/02_A-optimiser,3,0,OK
1RDoMm-IIIpM8pcMQ9BUQO_giCRR22RqA,01_En-cours,02_PROJETS/schoolsWP/05_Contenus/01_En-cours,3,0,OK
1elUgdHqA72kPxDriXsBwUgJPtJM4AiMg,99_ARCHIVES,02_PROJETS/schoolsWP/05_Contenus/99_ARCHIVES,3,0,OK
1VuU-Os3zWyeV1JtQE4W4LvXL0rBT51aD,99_ARCHIVES,02_PROJETS/schoolsWP/01_Assets/99_ARCHIVES,3,0,OK
1k0iBVh8ogolY7XtXeTw3WGT3ojb_IqdG,05_Canva-PSD,02_PROJETS/schoolsWP/01_Assets/05_Canva-PSD,3,0,OK
14BRdge7rzTrt_9RBe0RX1NT6scGsZhao,04_PDF-Documents,02_PROJETS/schoolsWP/01_Assets/04_PDF-Documents,3,0,OK
19ONbt9E7mn2kjiBQapUarX8dZl_319tL,03_Videos,02_PROJETS/schoolsWP/01_Assets/03_Videos,3,0,OK
16kt4h86mDvJzoOzq0bYfZeKIL8zAf1n7,02_Images,02_PROJETS/schoolsWP/01_Assets/02_Images,3,0,OK
1GHKc24g0v8uGwKdbKUTmUBrpsU2rdZkM,01_Logos-Branding,02_PROJETS/schoolsWP/01_Assets/01_Logos-Branding,3,0,OK
1Ko6dQjb_RiVs5wlg-8Jq6r7-mChoVKIp,04_OttoKit,02_PROJETS/schoolsWP/03_Automatisation/04_OttoKit,3,0,OK
1kz_Ddbj1hdmywJfwleqdOraAo3hzi22k,03_Make,02_PROJETS/schoolsWP/03_Automatisation/03_Make,3,0,OK
1v3Y0U5Rx10D6i_ZTyR-1B5z59x-9LH8y,02. Pabbly,02_PROJETS/schoolsWP/03_Automatisation/02. Pabbly,3,0,OK
1FAefx0hVLnixuHRIcs6MHKQat9uruQuL,01. n8n,02_PROJETS/schoolsWP/03_Automatisation/01. n8n,3,0,OK
