id,name,path,size,modified,duplicate_group,group_count
1tXuEO5PkMx5IHRbBodUtpvvArWVQ1I7KSljSzT4PyFU,Modele de Prompt Structure Ultime (pour IA),Modele de Prompt Structure Ultime (pour IA),3359,2026-02-11T09:41:54.464Z,16ded504,2
1CfvrK1HWemt_eDmtDD8hT__Q8K6vZFCgSp3Awm9Q4Ws,Modele de Prompt Structure Ultime (pour IA),Modele de Prompt Structure Ultime (pour IA),3359,2026-02-11T09:41:53.391Z,16ded504,2
1cX1hDnU0DwIiXqXJRpJNeywNk5Iu6q0M5PT3rPanKiw,Nomenclature et regles de nommage - Prompts schoolsWP (Michael KIHL),Nomenclature et regles de nommage - Prompts schoolsWP (Michael KIHL),8003,2026-02-11T09:41:53.921Z,77a7d98e,2
1wW6efkEVN1Ah49B0tBg9RdnmkRd5-kBYKa-H8RX-MZA,Nomenclature et regles de nommage - Prompts schoolsWP (Michael KIHL),Nomenclature et regles de nommage - Prompts schoolsWP (Michael KIHL),8003,2026-02-11T09:41:52.742Z,77a7d98e,2
1zsIeH2Sa8JX1GsICbhr6in0qyAyGm1cpkAelnGSTQeQ,TEMPLATE PROMPT MASTER BRIEF - PACK MARKETING VENTE (schoolsWP),TEMPLATE PROMPT MASTER BRIEF - PACK MARKETING VENTE (schoolsWP),5903,2026-02-11T09:32:55.645Z,69409943,2
1XA7uXYRp9ax2STS2atrpvSHamLi5UTKB1u-gJFiP75Y,TEMPLATE PROMPT MASTER BRIEF - PACK MARKETING VENTE (schoolsWP),TEMPLATE PROMPT MASTER BRIEF - PACK MARKETING VENTE (schoolsWP),5903,2026-02-11T09:32:54.492Z,69409943,2
18AWnURxEeDsTvf9i2jYE1LIpdRW2s4HqxjprG7518yk,Prompt schoolsWP - Analyse dIntention de Recherche (SERP-first),Prompt schoolsWP - Analyse dIntention de Recherche (SERP-first),7475,2026-02-11T09:32:55.048Z,dd469c7e,2
1RjJsmEv5tU_V04Fwp321sgWMvZb3GlWU466PuiagZjY,Prompt schoolsWP - Analyse dIntention de Recherche (SERP-first),Prompt schoolsWP - Analyse dIntention de Recherche (SERP-first),7475,2026-02-11T09:32:53.990Z,dd469c7e,2
